,PSdelay,TIE_PLL_sdev,phasePSvsPLL_mean_40M,phasePSvsPLL_sdev_40M,dutyCycle_PLL_40M,period_PLL_40M,TIE_PS_sdev_40M,phasePSvsPLL_mean_80M,phasePSvsPLL_sdev_80M,TIE_PS_sdev_80M,phasePSvsPLL_mean_640M,phasePSvsPLL_sdev_640M,TIE_PS_sdev_640M,TIE_PLL_sdev_40M0,TIE_PLL_sdev_640M0,TIE_PLL_sdev_40M1,TIE_PLL_sdev_640M1,TIE_PLL_sdev_40M2,TIE_PLL_sdev_640M2,TIE_PLL_sdev_40M3,TIE_PLL_sdev_640M3,TIE_PLL_sdev_40M4,TIE_PLL_sdev_640M4,TIE_PLL_sdev_40M5,TIE_PLL_sdev_640M5
30,30,12.195,20.021,6.632,50.186,25.0,7.835,1.532,5.135,7.914,0.695,7.352,7.984,7.7,7.3,,,,,7.07,10.339,6.858,10.264,6.967,9.058
31,31,12.638,20.112,6.912,50.176,25.0,8.046,1.621,4.398,8.027,0.792,5.236,8.201,7.7,7.5,,,,,7.022,9.439,7.029,9.441,,
32,32,12.322,20.288,6.96,50.089,25.0,8.12,1.798,5.141,8.069,0.939,3.861,8.018,7.4,7.3,,,,,,,,,,
33,33,13.358,20.389,7.625,50.087,25.0,8.325,1.881,4.68,8.503,1.034,3.786,8.682,7.5,7.6,,,,,,,,,,
34,34,13.211,20.496,7.606,50.157,25.0,8.247,1.984,6.767,8.337,1.139,3.683,8.513,7.4,7.7,,,,,,,,,,
35,35,12.158,20.596,5.896,50.171,25.0,7.981,2.078,4.866,8.064,1.235,2.74,7.902,7,-1,,,,,,,,,,
36,36,11.845,20.685,5.845,50.169,25.0,7.639,2.172,5.38,7.884,1.33,4.095,7.779,6.7,-1,,,,,,,,,,
37,37,11.815,20.773,6.512,0.0,24.996,-1.0,2.266,3.873,7.538,1.422,2.604,7.748,6.7,7.7,,,,,,,,,,
38,38,11.35,20.866,5.715,50.185,25.0,7.646,2.361,4.248,7.213,1.515,2.98,7.365,6.6,7.8,,,,,,,,,,
39,39,10.954,20.958,8.726,50.182,25.0,7.356,2.454,4.839,7.164,0.044,3.795,7.202,6.4,8.3,,,,,,,,,,
40,40,10.738,21.057,7.367,50.199,25.0,7.183,2.546,5.593,7.141,0.143,4.011,7.152,6.4,8.9,,,,,,,,,,
41,41,10.392,21.149,6.39,50.237,25.0,7.238,2.638,5.655,7.026,0.238,5.404,6.946,6.5,9.3,,,,,,,,,,
42,42,9.833,21.25,6.706,50.228,25.0,6.688,2.734,4.553,6.728,0.333,3.516,6.694,6.4,9.5,,,,,,,,,,
